"","player_id","round","kickoff_time","opponent_team","was_home","team_h_score","team_a_score","value","transfers_balance","selected","transfers_in","transfers_out","total_points","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","open_play_crosses","big_chances_created","clearances_blocks_interceptions","recoveries","key_passes","tackles","winning_goals","attempted_passes","completed_passes","penalties_conceded","big_chances_missed","errors_leading_to_goal","errors_leading_to_goal_attempt","tackled","offside","target_missed","fouls","dribbles","name","team","pos"
"1",1,1,"2017-08-11T18:45:00Z",9,TRUE,4,3,50,0,8964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ospina","Arsenal","Goalkeeper"
"2",2,1,"2017-08-11T18:45:00Z",9,TRUE,4,3,55,0,222249,0,0,1,90,0,0,0,3,0,0,0,0,0,0,0,9,"12.2","0.0","0.0","1.2",0,0,0,0,4,0,1,0,20,16,0,0,0,0,0,0,0,0,0,"Cech","Arsenal","Goalkeeper"
"3",3,1,"2017-08-11T18:45:00Z",9,TRUE,4,3,40,0,43837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Martinez","Arsenal","Goalkeeper"
"4",4,1,"2017-08-11T18:45:00Z",9,TRUE,4,3,60,0,22384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Koscielny","Arsenal","Defender"
"5",5,1,"2017-08-11T18:45:00Z",9,TRUE,4,3,50,0,22724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mertesacker","Arsenal","Defender"
"6",6,1,"2017-08-11T18:45:00Z",9,TRUE,4,3,50,0,1698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gabriel","Arsenal","Defender"
"7",7,1,"2017-08-11T18:45:00Z",9,TRUE,4,3,60,0,572986,0,0,1,90,0,0,0,3,0,0,0,0,0,0,0,9,"17.2","27.5","25.0","7.0",0,0,0,1,7,2,1,0,60,53,0,1,0,0,4,0,0,1,1,"Bellerín","Arsenal","Defender"
"8",8,1,"2017-08-11T18:45:00Z",9,TRUE,4,3,50,0,6359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gibbs","Arsenal","Defender"
"9",9,1,"2017-08-11T18:45:00Z",9,TRUE,4,3,45,0,14005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jenkinson","Arsenal","Defender"
"10",10,1,"2017-08-11T18:45:00Z",9,TRUE,4,3,55,0,227033,0,0,1,90,0,0,0,3,0,0,0,0,0,0,0,24,"30.2","1.3","0.0","3.2",0,0,0,12,7,0,2,0,57,54,0,0,0,0,0,0,0,0,0,"Monreal","Arsenal","Defender"
