"id","group","cost","pts"
1,"A",5,2
2,"A",5.5,134
3,"A",4,8
4,"A",6,121
5,"A",5,1
6,"A",5,45
7,"A",6.5,119
8,"A",5,45
9,"A",5,2
10,"A",6,115
11,"A",4.5,32
12,"A",6,90
13,"A",11,264
14,"A",7.5,122
15,"A",9.5,167
16,"A",7.5,38
17,"A",8,56
18,"A",6,83
19,"A",4.5,52
20,"A",6,89
21,"A",5,26
22,"A",5.5,85
23,"A",6,61
24,"A",9,116
25,"A",7.5,37
26,"A",8.5,20
27,"B",5,2
28,"B",4.5,120
29,"B",4.5,8
30,"B",4.5,89
31,"B",5,112
32,"B",5,134
33,"B",4.5,104
34,"B",4.5,4
35,"B",4,4
36,"B",4.5,55
37,"B",5,84
38,"B",5,64
39,"B",5,44
40,"B",5.5,107
41,"B",5,49
42,"B",5.5,8
43,"B",5.5,36
44,"B",4.5,17
45,"B",5,100
46,"B",6.5,63
47,"B",6,88
48,"B",5.5,14
49,"B",5.5,178
50,"B",7,166
51,"D",4.5,149
52,"D",4,5
53,"D",4.5,90
54,"D",4.5,94
55,"D",4.5,91
56,"D",4,23
57,"D",4,3
58,"D",5.5,69
59,"D",4.5,51
60,"D",5.5,47
61,"D",6,54
62,"D",5.5,76
63,"D",5.5,39
64,"D",4.5,13
65,"D",6,72
66,"D",5,50
67,"D",6,121
68,"R",6.5,108
69,"D",4.5,81
70,"E",5.5,141
71,"E",4.5,0
72,"E",5,64
73,"E",6,170
74,"E",6,178
75,"P",5.5,15
76,"E",6,177
77,"E",6,132
78,"E",5.5,105
79,"E",10,224
80,"E",7.5,121
81,"E",7.5,114
82,"L",5,105
83,"F",5.5,6
84,"E",7.5,162
85,"E",5.5,3
86,"E",5,83
87,"R",4.5,12
88,"E",9,48
89,"E",9.5,196
90,"F",4.5,92
91,"F",4.5,0
92,"F",5,75
93,"F",5.5,61
94,"F",5,86
95,"F",4.5,46
96,"F",5,51
97,"F",4.5,6
98,"F",5,47
99,"F",5,98
100,"F",5.5,92
101,"F",5.5,149
102,"F",5,93
103,"F",4.5,24
104,"F",6,91
