"player_id","round","kickoff_time","opponent_team","was_home","team_h_score","team_a_score","value","transfers_balance","selected","transfers_in","transfers_out","total_points","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","open_play_crosses","big_chances_created","clearances_blocks_interceptions","recoveries","key_passes","tackles","winning_goals","attempted_passes","completed_passes","penalties_conceded","big_chances_missed","errors_leading_to_goal","errors_leading_to_goal_attempt","tackled","offside","target_missed","fouls","dribbles","name","team","pos"
1,1,"2017-08-11T18:45:00Z",9,TRUE,4,3,50,0,8964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ospina","Arsenal","Goalkeeper"
1,2,"2017-08-19T16:30:00Z",15,FALSE,1,0,50,-1128,11030,195,1323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ospina","Arsenal","Goalkeeper"
1,3,"2017-08-27T15:00:00Z",10,FALSE,4,0,50,-982,11243,106,1088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ospina","Arsenal","Goalkeeper"
2,1,"2017-08-11T18:45:00Z",9,TRUE,4,3,55,0,222249,0,0,1,90,0,0,0,3,0,0,0,0,0,0,0,9,"12.2","0.0","0.0","1.2",0,0,0,0,4,0,1,0,20,16,0,0,0,0,0,0,0,0,0,"Cech","Arsenal","Goalkeeper"
2,2,"2017-08-19T16:30:00Z",15,FALSE,1,0,55,-12409,262457,4337,16746,3,90,0,0,0,1,0,0,0,0,0,3,0,14,"25.8","0.0","0.0","2.6",0,0,0,1,7,0,0,0,18,16,0,0,0,0,0,0,0,0,0,"Cech","Arsenal","Goalkeeper"
2,3,"2017-08-27T15:00:00Z",10,FALSE,4,0,55,-18456,261327,1931,20387,2,90,0,0,0,4,0,0,0,0,0,6,0,23,"58.4","0.0","0.0","5.8",0,0,0,4,10,0,0,0,18,12,0,0,0,0,0,0,0,0,0,"Cech","Arsenal","Goalkeeper"
3,1,"2017-08-11T18:45:00Z",9,TRUE,4,3,40,0,43837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Martinez","Arsenal","Goalkeeper"
3,2,"2017-08-19T16:30:00Z",15,FALSE,1,0,40,-5465,42898,111,5576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Martinez","Arsenal","Goalkeeper"
3,3,"2017-08-27T15:00:00Z",10,FALSE,4,0,40,-3581,42087,101,3682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Martinez","Arsenal","Goalkeeper"
4,1,"2017-08-11T18:45:00Z",9,TRUE,4,3,60,0,22384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Koscielny","Arsenal","Defender"
4,2,"2017-08-19T16:30:00Z",15,FALSE,1,0,60,-3439,23720,446,3885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Koscielny","Arsenal","Defender"
